queryid,noconstraints,querytime
1,0,4.8809996
2,0,1336.0525
3,0,34.285797
5,0,175.229
6,0,65.951004
5,100,1616.5658
6,100,9631.059
5,200,3435.9355
6,200,19451.053
5,300,4908.8384
6,300,30509.043
5,400,6269.6006
6,400,39871.727
5,500,6622.557
6,500,50245.664
5,600,8106.678
6,600,60034.543
5,700,8557.491
6,700,70312.7
5,800,8649.952
6,800,79137.1
5,900,10158.307
6,900,88560.56
5,1000,10736.072
4,0,24080.52
7,0,61.774605
4,100,101422.56
7,100,8218.274
4,200,202077.89
7,200,16376.234
4,300,295666.2
7,300,25089.95
4,400,391058.2
7,400,33655.23
4,500,477829.5
7,500,41736.793
4,600,601138.44
7,600,50846.85
4,700,716218.3
7,700,57855.4
4,800,875040.8
7,800,66215.54
4,900,1065797.6
7,900,75306.45
4,1000,1245819.8
7,1000,80691.016
6,1000,96017.555
1,100,67.296
2,100,2029.902
3,100,66.894
1,200,57.067604
2,200,2818.7688
3,200,70.531395
1,300,84.606606
2,300,3808.6328
3,300,87.1108
1,400,108.5446
2,400,4922.453
3,400,109.23399
1,500,136.6244
2,500,5884.6943
3,500,129.5932
1,600,168.94681
2,600,7097.569
3,600,152.0896
1,700,205.51802
2,700,8529.482
3,700,174.039
1,800,246.75139
2,800,10246.668
3,800,207.524
1,900,308.327
2,900,12547.338
3,900,243.4108
1,1000,351.4038
2,1000,14518.528
3,1000,284.5712
